Number,Serie,Test,H1/3 deep,Hmo deep,T1/3 deep,Tp deep,"Tm0,2 deep","Tm-1,0 deep",Lp deep,shallow 1 deep 3,beta,H1/3 toe,Hmo toe,T1/3 toe,Tp toe,"Tm0,2 toe","Tm-1,0 toe",Lp toe,shallow 1 deep 3,H1/3 trans,Hmo trans,Hmo trans at Lp toe,Kt,kr,hdeep,h,ht,hb,hc,Rc,Ac,m,toe1 or berm2,Wb,Wh,Wt,Dn50 A,tA,Dn50 F,tF,Dn50 C,tC,p,P,Gc,B,cot_ d f,cot_ incl f,cot_ excl f,cot_ u f,cot_ u b,_f,"s-1,0",Hm0/Dn50,Rc/Hmo,B/Hmo,
23,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.149,1.457,1.530,1.214,1.391,2.797,1,0.000,0.013,0.013,0.084,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.049,1.342,1.409,2.685,
24,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.170,1.933,2.030,1.611,1.845,4.439,1,0.000,0.040,0.040,0.233,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.032,1.532,0.353,2.353,
25,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,1.457,1.530,1.214,1.391,3.073,1,0.000,0.029,0.029,0.193,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.050,1.351,0.400,2.667,
26,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.156,1.457,1.530,1.214,1.391,3.255,1,0.000,0.076,0.076,0.484,0.000,0.000,0.740,0.740,0.000,0.660,-0.080,-0.080,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.052,1.405,-0.513,2.564,
27,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,1.371,1.440,1.143,1.309,2.965,1,0.000,0.073,0.073,0.501,0.000,0.000,0.740,0.740,0.000,0.660,-0.080,-0.080,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.055,1.315,-0.548,2.740,
28,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,1.371,1.440,1.143,1.309,2.818,1,0.000,0.027,0.027,0.188,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.055,1.315,0.411,2.740,
29,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,1.371,1.440,1.143,1.309,2.818,1,0.000,0.027,0.027,0.187,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.055,1.315,0.411,2.740,
30,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.164,2.238,2.350,1.865,2.136,4.664,1,0.000,0.019,0.019,0.113,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.023,1.477,1.280,2.439,
31,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,1.314,1.380,1.095,1.255,2.646,1,0.000,0.032,0.032,0.209,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.063,1.387,0.390,2.597,
32,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,1.314,1.380,1.095,1.255,2.646,1,0.000,0.041,0.041,0.237,0.000,0.000,0.600,0.600,0.000,0.660,0.060,0.060,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.071,1.568,0.345,2.299,
